name,year,miles,color,condition,price
Toyota Corolla,2015,"59,986 miles","Black exterior, Gray interior","1 accident reported, 3 Owners","$14,482"
Toyota RAV4,2022,"8,972 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$32,000"
Audi A3,2023,"2,195 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Lexus IS,2014,"101,232 miles","White exterior, Beige interior","2 accidents reported, 3 Owners","$16,795"
Ford Explorer,2021,"30,871 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$31,998"
Toyota Camry,2020,"49,179 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$21,995"
BMW 5 Series,2020,"12,563 miles","White exterior, Black interior","No accidents reported, 1 Owner","$30,996"
Chevrolet Traverse,2017,"60,307 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$18,998"
Nissan Versa,2019,"28,269 miles","Gray exterior, Black interior","2 accidents reported, 3 Owners","$10,795"
Toyota Avalon,2021,"40,595 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$30,998"
Hyundai Elantra,2022,"18,554 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$22,998"
Toyota Sienna,2016,"98,891 miles","White exterior, Gray interior","1 accident reported, 2 Owners","$16,988"
MINI Countryman,2018,"70,844 miles","Blue exterior, Black interior","No accidents reported, 2 Owners","$21,998"
Ford Fiesta,2015,"85,972 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$6,900"
Acura RDX,2018,"29,848 miles","Black exterior, Black interior","1 accident reported, 3 Owners","$24,998"
Mercedes-Benz GLE,2021,"23,303 miles","Silver exterior, Beige interior","No accidents reported, 1 Owner","$42,991"
Toyota Camry,2015,"72,858 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$15,991"
Mercedes-Benz C-Class,2023,"6,315 miles","White exterior, Black interior","No accidents reported, 1 Owner","$44,868"
Mercedes-Benz M-Class,2013,"89,695 miles","Black exterior, Beige interior","No accidents reported, 2 Owners","$12,456"
Volkswagen Tiguan,2020,"30,203 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$20,500"
Nissan NV200 Compact Cargo,2015,"110,993 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$11,998"
Mercedes-Benz GLE,2021,"22,440 miles","White exterior, Black interior","No accidents reported, 1 Owner","$45,997"
Jeep Grand Cherokee,2015,"82,310 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$19,998"
Honda Accord,2022,"18,068 miles","Silver exterior, Unknown interior","No accidents reported, 1 Owner","$22,988"
BMW 3 Series,2017,"86,333 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$15,600"
Ford Fusion,2019,"46,770 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$18,988"
Ram ProMaster City Cargo Van,2021,"32,878 miles","White exterior, Black interior","No accidents reported, 1 Owner","$27,997"
Honda Civic,2013,"99,911 miles","Gray exterior, Black interior","2 accidents reported, 2 Owners","$10,987"
Honda Odyssey,2020,"26,469 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$31,997"
Ram 1500,2022,"28,537 miles","White exterior, Black interior","No accidents reported, 1 Owner","$41,998"
Nissan Versa,2021,"65,570 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$15,674"
Audi Q7,2023,"13,787 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$65,346"
MINI Clubman,2017,"24,293 miles","Red exterior, Gray interior","1 accident reported, 1 Owner","$19,222"
BMW 5 Series,2019,"41,249 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$25,999"
Ford F-150,2023,131 miles,"Gray exterior, Black interior","No accidents reported, 1 Owner","$60,800"
Ford Super Duty F-250,2019,"61,099 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$39,998"
Kia Optima,2020,"85,298 miles","White exterior, Black interior","No accidents reported, 2 Owners","$15,998"
Acura MDX,2017,"100,531 miles","White exterior, Brown interior","No accidents reported, 2 Owners","$20,998"
Mercedes-Benz GLB,2020,"24,121 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$27,179"
Volkswagen Tiguan,2016,"39,566 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$17,998"
Jeep Wrangler,2020,"36,667 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$31,998"
Subaru Forester,2021,"43,610 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$25,099"
Ford Transit Cargo Van,2020,"56,097 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$32,578"
Mercedes-Benz GLA,2021,"32,130 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$29,419"
Acura MDX,2020,"18,718 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$32,986"
Honda Civic,2013,"37,843 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$17,998"
Lexus ES,2019,"18,131 miles","Black exterior, Black interior","2 accidents reported, 1 Owner","$30,369"
Chevrolet Equinox,2020,"108,281 miles","White exterior, Black interior","1 accident reported, 2 Owners","$15,998"
Toyota Camry,2020,"35,399 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$27,788"
INFINITI Q50,2014,"73,175 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners","$19,998"
Subaru Ascent,2021,"55,635 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$24,988"
Chevrolet Equinox,2020,"24,023 miles","White exterior, Black interior","No accidents reported, 1 Owner","$24,998"
Honda Passport,2021,"32,009 miles","Gray exterior, Black interior","2 accidents reported, 1 Owner","$24,381"
Hyundai Elantra,2012,"135,320 miles","Red exterior, Black interior","No accidents reported, 3 Owners","$6,500"
Honda Civic,2012,"124,873 miles","Gray exterior, Gray interior","1 accident reported, 4 Owners","$8,995"
Mercedes-Benz GLA,2018,"56,075 miles","Black exterior, Black interior","1 accident reported, 4 Owners","$20,109"
Hyundai Kona,2022,"30,250 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$18,998"
Mercedes-Benz S-Class,2016,"39,327 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$48,919"
Dodge Journey,2017,"94,402 miles","Blue exterior, Black interior","2 accidents reported, 1 Owner","$9,998"
BMW 3 Series,2018,"34,302 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$23,998"
Mazda CX-5,2020,"32,289 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,495"
Hyundai Elantra,2021,"13,081 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$18,998"
Lexus RX,2020,"37,965 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$35,998"
Mercedes-Benz GLC,2020,"37,045 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner","$26,988"
Buick Enclave,2023,"10,581 miles","White exterior, Black interior","No accidents reported, 1 Owner","$47,000"
Kia Optima,2020,"22,560 miles","White exterior, Black interior","No accidents reported, 2 Owners","$18,998"
Toyota Corolla,2021,"80,771 miles","Blue exterior, Black interior","1 accident reported, 1 Owner","$17,495"
BMW X5,2022,"33,541 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner","$43,379"
Toyota Tacoma,2021,"23,998 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners","$32,995"
Audi RS 6 Avant,2023,"8,483 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$124,995"
BMW X3,2014,"58,663 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$18,998"
Honda Civic,2022,"32,553 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$23,495"
Land Rover Range Rover,2009,"116,233 miles","Unknown exterior, Unknown interior","1 accident reported, 5 Owners","$10,995"
Honda Civic,2022,"22,376 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$28,067"
Audi Q7,2023,"2,738 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$53,155"
BMW 3 Series,2017,"78,006 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$17,998"
Ford Taurus,2010,"167,599 miles","White exterior, Gray interior","No accidents reported, 2 Owners","$5,998"
Toyota Highlander,2021,"16,775 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$40,222"
Audi Q5,2023,"4,888 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$44,672"
Mercedes-Benz CLA,2019,"54,727 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$19,999"
Chevrolet Silverado 1500,2020,"9,949 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$33,988"
Kia Forte,2022,"31,031 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,500"
Chevrolet Silverado 1500,2023,114 miles,"White exterior, Black interior","No accidents reported, 1 Owner","$48,995"
Mercedes-Benz S-Class,2007,"94,629 miles","Unknown exterior, Unknown interior","No accidents reported, 3 Owners","$9,999"
Subaru Crosstrek,2024,"1,301 miles","White exterior, Black interior","No accidents reported, 1 Owner","$26,741"
Mazda CX-5,2021,"22,943 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$23,896"
Toyota Corolla,2021,"62,665 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$17,000"
Ford Fusion,2020,"41,553 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$19,995"
Ford Escape,2020,"33,103 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$19,998"
Jeep Grand Cherokee,2020,"43,868 miles","White exterior, Black interior","No accidents reported, 1 Owner","$25,000"
Toyota Highlander,2021,"64,785 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$29,469"
Chevrolet Monte Carlo,2006,"83,089 miles","Silver exterior, Gray interior","No accidents reported, 5 Owners","$9,500"
Toyota Corolla,2023,"25,273 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$19,699"
BMW X5,2021,"49,339 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$36,498"
Hyundai Elantra,2018,"39,023 miles","Gray exterior, Black interior","2 accidents reported, 1 Owner","$12,995"
Nissan Kicks,2021,"56,206 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$16,199"
Toyota Avalon,2022,"35,234 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$23,899"
Honda Civic,2018,"84,732 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$16,500"
Lexus NX,2021,"30,707 miles","White exterior, Red interior","No accidents reported, 1 Owner","$31,500"
Dodge Charger,2019,"42,526 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,000"
Honda CR-V,2013,"76,825 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$16,998"
Jeep Gladiator,2020,"28,908 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$30,991"
Mercedes-Benz GLB,2020,"18,786 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$29,440"
Ford Escape,2013,"98,601 miles","Silver exterior, Unknown interior","2 accidents reported, 3 Owners","$8,995"
Toyota Corolla,2022,"33,167 miles","White exterior, Black interior","No accidents reported, 1 Owner","$20,222"
Chevrolet Malibu,2022,"36,231 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$19,998"
Kia Optima,2019,"55,465 miles","Silver exterior, Black interior","2 accidents reported, 4 Owners","$17,998"
Mercedes-Benz R-Class,2009,"120,694 miles","Black exterior, Black interior","1 accident reported, 3 Owners","$9,495"
Jeep Grand Cherokee,2015,"29,063 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$23,998"
Honda Civic,2022,"28,188 miles","White exterior, Black interior","No accidents reported, 1 Owner","$26,998"
Dodge Charger,2020,"60,196 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,670"
Toyota Corolla,2021,"69,058 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$17,300"
BMW X3,2021,"38,581 miles","Silver exterior, Black interior","1 accident reported, 1 Owner","$27,806"
Ford Transit Cargo Van,2020,"53,669 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$33,995"
Honda Accord,2018,"34,889 miles","Blue exterior, Black interior","No accidents reported, 2 Owners","$24,400"
Honda HR-V,2021,"40,688 miles","White exterior, Black interior","1 accident reported, 1 Owner","$21,257"
GMC Yukon,2016,"99,882 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$21,999"
Chevrolet Tahoe,2021,"63,335 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$41,500"
Kia K5,2022,"33,632 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,988"
Pontiac Solstice,2008,"79,559 miles","Black exterior, Black interior","No accidents reported, 5 Owners","$11,795"
Mercedes-Benz GLK,2015,"67,764 miles","White exterior, Unknown interior","No accidents reported, 4 Owners","$19,998"
Volvo XC90,2016,"126,749 miles","Black exterior, Brown interior","No accidents reported, 3 Owners","$19,998"
Subaru Outback,2024,"6,157 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$33,359"
Subaru Crosstrek,2021,"33,075 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$25,500"
Chevrolet Camaro,2022,"36,151 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,400"
Volkswagen Jetta,2019,"39,057 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$15,190"
Kia Forte,2021,"22,450 miles","White exterior, Black interior","2 accidents reported, 1 Owner","$17,998"
Mercedes-Benz E-Class,2021,"28,450 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$37,968"
Mercedes-Benz C-Class,2023,"4,508 miles","White exterior, White interior","No accidents reported, 1 Owner","$57,363"
Kia K5,2022,"58,892 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$19,599"
Honda HR-V,2021,"21,962 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$19,999"
Ford F-150,2020,"50,197 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$33,998"
Land Rover Range Rover Evoque,2023,"8,503 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$40,777"
Chevrolet Malibu,2022,"28,464 miles","White exterior, Black interior","No accidents reported, 1 Owner","$17,991"
Kia Optima,2013,"106,382 miles","White exterior, Beige interior","2 accidents reported, 2 Owners","$8,995"
Ford Edge,2020,"23,841 miles","White exterior, Black interior","No accidents reported, 1 Owner","$27,995"
Audi Q3,2019,"63,070 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$17,500"
Ford Mustang,2016,"96,178 miles","White exterior, Black interior","3 accidents reported, 4 Owners","$23,495"
Toyota RAV4,2022,"41,077 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$25,593"
Dodge Charger,2013,"119,000 miles","Black exterior, Black interior","1 accident reported, 5 Owners","$8,988"
Subaru Impreza,2019,"35,495 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$18,999"
Subaru Outback,2017,"51,853 miles","Blue exterior, Brown interior","No accidents reported, 1 Owner","$22,158"
Volkswagen Atlas,2021,"17,081 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$29,089"
Volvo V60,2020,"16,883 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$32,991"
Ford Fusion,2018,"62,354 miles","White exterior, Unknown interior","1 accident reported, 2 Owners","$10,800"
Honda Civic,2022,"17,593 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$27,419"
Honda Accord,2020,"36,197 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$22,991"
Toyota Corolla,2022,"4,514 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$20,683"
BMW 5 Series,2016,"73,181 miles","Silver exterior, Beige interior","No accidents reported, 3 Owners","$14,999"
Dodge Challenger,2015,"26,780 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$46,988"
Subaru Ascent,2022,"12,435 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$34,449"
Toyota Corolla,2021,"63,421 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$18,693"
Chevrolet Trailblazer,2023,"7,911 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,989"
Subaru Forester,2017,"83,415 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$17,595"
BMW 5 Series,2023,"5,533 miles","White exterior, Brown interior","No accidents reported, 1 Owner","$52,292"
BMW X5,2015,"134,985 miles","Unknown exterior, Unknown interior","2 accidents reported, 2 Owners","$14,995"
BMW 6 Series,2016,"83,633 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$22,750"
Cadillac XT4,2020,"16,804 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$27,995"
Honda CR-V,2014,"70,956 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner","$13,499"
Acura RDX,2014,"105,118 miles","Black exterior, Black interior","2 accidents reported, 1 Owner","$16,998"
Honda Civic,2015,"116,519 miles","Silver exterior, Gray interior","1 accident reported, 4 Owners","$9,499"
BMW 7 Series,2016,"78,768 miles","Gray exterior, Brown interior","1 accident reported, 2 Owners","$21,999"
Audi S7,2014,"72,485 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$24,987"
Nissan Sentra,2019,"50,110 miles","White exterior, Black interior","No accidents reported, 2 Owners","$16,998"
Toyota Corolla,2022,"47,396 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$17,995"
Hyundai Sonata,2015,"116,291 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$9,998"
Toyota Camry,2015,"72,858 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$15,991"
Mercedes-Benz E-Class,2020,"42,859 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$34,269"
Toyota Tacoma,2021,"48,472 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$29,998"
Volvo V60,2020,"45,016 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$32,598"
Alfa Romeo Stelvio,2022,64 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$35,688"
Hyundai Sonata,2013,"123,453 miles","Blue exterior, Gray interior","1 accident reported, 1 Owner","$11,998"
Nissan Murano,2018,"94,426 miles","Silver exterior, Gray interior","No accidents reported, 4 Owners","$13,987"
Ford Transit Connect Van,2019,"66,478 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,995"
Toyota Corolla,2018,"116,630 miles","White exterior, Black interior","1 accident reported, 2 Owners","$12,999"
Honda CR-V,2021,"51,693 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$24,300"
Subaru Outback,2023,"5,688 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$34,600"
Ford Focus,2016,"104,788 miles","Silver exterior, Black interior","No accidents reported, 3 Owners","$7,499"
Toyota Corolla,2020,"29,126 miles","White exterior, Black interior","1 accident reported, 2 Owners","$19,497"
Mercedes-Benz GLC,2023,"5,614 miles","White exterior, Black interior","No accidents reported, 1 Owner","$48,515"
Ford Explorer,2020,"50,559 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$24,988"
Volkswagen Tiguan,2020,"46,797 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Honda Passport,2022,"2,010 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$37,856"
Dodge Charger,2016,"89,836 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$22,998"
Nissan Rogue,2017,"82,765 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$16,998"
Hyundai Santa Fe,2020,"34,444 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$25,998"
Chevrolet Tahoe,2018,"97,560 miles","Gray exterior, Black interior","No accidents reported, 3 Owners","$31,998"
Dodge Challenger,2022,"27,530 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$26,700"
Land Rover Range Rover Sport,2020,"58,917 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$38,775"
Kia Soul,2021,"62,355 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$14,955"
Mercedes-Benz C-Class,2023,"3,755 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$45,940"
Chevrolet Tahoe,2016,"95,699 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$23,887"
Cadillac Escalade,2011,"137,244 miles","White exterior, Beige interior","No accidents reported, 2 Owners","$15,500"
Toyota RAV4,2021,"62,815 miles","White exterior, Black interior","1 accident reported, 2 Owners","$24,994"
Mercedes-Benz GLE,2016,"69,891 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$22,998"
Mazda CX-5,2022,"6,242 miles","Red exterior, Black interior","1 accident reported, 1 Owner","$28,891"
Lexus NX,2021,"30,707 miles","White exterior, Red interior","No accidents reported, 1 Owner","$31,500"
Honda Accord,2020,"25,894 miles","White exterior, Beige interior","1 accident reported, 1 Owner","$22,598"
Subaru Outback,2023,"7,345 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$34,900"
Audi Q3,2018,"21,714 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,499"
Mercedes-Benz GLS,2019,"22,998 miles","Silver exterior, Black interior","1 accident reported, 1 Owner","$39,999"
Acura MDX,2022,"19,654 miles","White exterior, Black interior","No accidents reported, 1 Owner","$47,998"
Mercedes-Benz E-Class,2011,"74,911 miles","Gray exterior, Black interior","No accidents reported, 3 Owners","$15,850"
Mercedes-Benz GLA,2020,"72,921 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$19,495"
Toyota Corolla,2021,"17,471 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$17,987"
Cadillac CTS,2016,"97,626 miles","White exterior, Beige interior","1 accident reported, 3 Owners","$14,900"
Honda HR-V,2020,"32,972 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$22,143"
Chevrolet Impala,2004,"165,172 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$4,998"
BMW X3,2022,"11,987 miles","White exterior, Black interior","1 accident reported, 1 Owner","$36,999"
Toyota Corolla,2021,"29,919 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,995"
BMW X5,2017,"38,477 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$28,998"
Honda Accord,2016,"95,261 miles","Black exterior, Black interior","2 accidents reported, 2 Owners","$17,998"
Toyota Camry,2019,"64,053 miles","White exterior, Black interior","1 accident reported, 2 Owners","$21,998"
BMW 3 Series,2015,"76,143 miles","Black exterior, Beige interior","1 accident reported, 5 Owners","$10,495"
Nissan Sentra,2022,"7,296 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$18,999"
BMW X1,2018,"55,265 miles","White exterior, Black interior","1 accident reported, 2 Owners","$21,998"
BMW 5 Series,2023,"11,651 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$46,888"
Ford Escape,2019,"76,075 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$13,995"
Lexus UX,2022,"12,642 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$29,333"
Volvo XC40,2021,"25,109 miles","White exterior, Black interior","No accidents reported, 1 Owner","$31,991"
Bentley Flying Spur,2008,"76,195 miles","Blue exterior, Unknown interior","No accidents reported, 3 Owners","$28,995"
Dodge Challenger,2016,"46,706 miles","White exterior, Black interior","No accidents reported, 3 Owners","$33,100"
